;Document;Abreviation;Library;Signature;Title;Printer;Remarks
63;Tirso de Molina_Elcolmenerodivinoautosacramental;Tirso_0;BNE;T-55286-13;El colmenero divino;;
64;Valez_Los amotinados;Valez_0;BNE;T-55314-7;Los amotinados de Flandes;;
65;Ulloa_El amante mas cruel;Ulloa_0;BNE;T-55316-5;El amante más cruel y la amistad ya difunta;;
66;Un ingenio_La bandolera de Italia_T553178;Un_in_0;BNE;T-55317-8;La bandolera de Italia, y enemiga de los hombres;;
67;Vicente_El amante mas honesto;Vicen_0;BNE;T-55317-30;El bandido más honrado y que tuvo mejor fin;;
68;Villazain_Las transformaciones;Villa_1;BNE;T-55300-1;Transformaciones de amor;;
69;Villegas_Los hermanos;Ville_0;BNE;T-55294-15;Los hermanos más amantes;;
70;YohehecholoquehepodidoFortunaloquehaquerido;Yoheh_0;BNE;T-55318-14;Yo he hecho lo que he podido, fortuna lo que ha querido;;
71;Zabaleta_ComediafamosaElhechizoimaginado;Zabal_0;BNE;T-55280-23;El hechizo imaginado;;
72;Delgado_Como se enganan los celos;Delga_0;BNE;T-55323-13;Cómo se engañan los celos;;
73;Perez de Montalban_ComediafamosaLosempeosqueseofrecen;Perez_5;BNE;T-55281-11;Los empeños que se ofrecen;;
74;Perez de Montalban_ComediaNohayvidacomolahonra;Perez_6;BNE;T-55281-17;No hay vida como la honra;;
75;Perez de Montalban_EldivinoportuguesSanAntoniodePaduacomediafamosadeldoctorIuanPerezdeMontalvan;Perez_7;BNE;T-55281-18;El divino portugués, San Antonio de Padua;;
76;Perez de Montalban_ElexamendemaridoscomediafamosadeldoctorIuanPerezdeMontalvan;Perez_8;BNE;T-55281-13;Antes que te cases mira lo que haces y examen de maridos;;
77;Perez de Montalban_ElzelosoestremeocomediafamosadeldoctorIuanPerezdeMontaluan;Perez_9;BNE;T-55281-7;El celoso extremeño;;
78;Fajardo_El conde Fuentes;Fajar_0;BNE;T-55318-23;El conde de Fuentes en Lisboa;Simón Fajardo;
79;Fajardo_El encubierto;Fajar_1;BNE;T-55333-33;El encubierto;Simón Fajardo;
80;Fajardo_Ladamaygalanfantasmacomediafamosa (1);Fajar_2;BNE;T-55292-24;La dama y galán fantasma;Simón Fajardo;
81;Lyra_Honra, confusion y amor;Lyra__0;BNE;T-55310-9;Honra, confusión y amor;Francisco de Lyra;
82;Lyra_La perfeta casada;Lyra__1;BNE;T-55312-7;La perfecta casada;Francisco de Lyra;
83;Pastrana_AcertarPensandoErrar;Pastr_0;BNE;T-55298-3;Acertar pensando errar;Pedro Gómez de Pastrana;
84;Pastrana_ElcercodeFuenterrabiaporelPrincipe;Pastr_1;BNE;T-55303-21;El cerco de Fuenterrabía por el príncipe de Condé;Pedro Gómez de Pastrana;
85;Sande_Calderon_Pedro_El pedir con mal intento;Sande_0;BNE;T-55310-29;El pedir con mal intento;Manuel de Sande;
86;Sande_Calderon_Pedro_La Batalla de Sopetran;Sande_1;BNE;T-55309-2;La batalla de Sopetrán;Manuel de Sande;
87;Fajardo_Ayudar_con_los_estorbos;Fajar_3;BNE;T- 55292-28;Ayudar con los estorbos;Simón Fajardo;
88;Lyra_La boba para los otros;Lyra__2;BNE;T-55352-9;La boba para los otros y discreta para sí;Francisco de Lyra;
